,Course Code,Course,EOS_2018
666,GY515,General Nursing (Galway and Portiuncula),442
667,GY516,Mental Health Nursing,388
668,GY517,Midwifery,429
669,LY108,Business - Accounting,318
670,LY118,Business,287
671,LY208,Law,300
672,LY218,Business - with Spanish/Irish options,298
673,LY228,Sports and Exercise (Common Entry),278
674,LY408,Design (Common Entry),307
675,LY508,Fire Safety Engineering,270
676,LY518,Quantity Surveying,307
677,LY528,Construction Management,267
678,LY608,Mechanical Engineering,304
679,LY618,Electronics and Embedded Systems,307
680,LY708,Applied Computing,300
681,LY818,Science (Common Entry),302
682,LY828,Agriculture (Common Entry),300
683,LY908,General Nursing,383
684,LY918,Psychiatric Nursing,291
685,LY928,Intellectual Disability Nursing,288
686,LY968,Early Childhood Care, Health and Education
687,LY978,Health & Social Care (Common Entry),260
688,MI001,Contemporary & Applied Theatre Studies,345
689,MI002,Arts (offered in conjunction with the University of Limerick),300
690,MI005,Education - Primary Teaching,473
691,MI006,Education - Primary Teaching (Gaeltacht Applicants),442
692,MI007,Early Childhood Care and Education,366
693,MI008,Education and Psychology - Primary Teaching,543
694,MI009,Education, Business Studies and Accounting (Thurles Campus)
695,MI010,Education, Business Studies and Religious Studies (Thurles Campus)
696,MI011,Education, Irish and Religious Studies (Thurles Campus)
697,MI012,Education, Irish and Business Studies (Thurles Campus)
698,MI013,Education, Mathematics and Gaeilge (Thurles Campus)
699,CI101,Counselling and Psychotherapy (Limerick),276
700,LC110,Art and Design (Common Entry, portfolio)
701,LC114,Fashion and Textiles for Product and Costume (portfolio),900
702,LC220,Digital Marketing,254
703,LC223,Law and Taxation,308
704,LC224,Accounting and Finance,299
705,LC225,Marketing and Management,298
706,LC226,Enterprise and Innovation,216
707,LC233,Software Development,300
708,LC234,Interactive Digital Media,219
709,LC236,Internet Systems Development,298
710,LC239,Computer Networks and Systems Management,335
711,LC241,Construction Management,276
712,LC242,Property Valuation and Management,292
713,LC243,Quantity Surveying,281
714,LC248,Built Environment (Common Entry),307
715,LC252,Civil Engineering Management,281
716,LC263,Clinical Technology,282
717,LC265,Forensic and Pharmaceutical Sciences,335
718,LC266,Drug and Medicinal Product Analysis,236
719,LC275,Electrical Engineering,288
720,LC288,Mechanical Engineering,307
721,LC289,Precision Engineering,280
